Wall time,Step,Value
1583018449.7289598,22066,84.0
1583018456.8652933,22072,83.0
1583018485.1133635,22093,105.0
1583018494.0031924,22099,101.0
1583018571.0032632,22159,70.0
1583018652.9789255,22218,77.0
1583018693.0482502,22250,101.0
1583018701.878843,22257,117.0
1583018989.8516266,22471,102.0
1583019023.2956002,22496,78.0
1583019040.367988,22509,112.0
1583019074.1377826,22536,85.0
1583019084.0911324,22543,115.0
1583019095.6621578,22554,115.0
1583019104.2369328,22559,70.0
1583019114.1972399,22567,78.0
1583019130.3752892,22581,89.0
1583019164.0860965,22609,96.0
1583019246.0068018,22679,58.0
1583019250.4953697,22682,151.0
1583019305.215403,22725,94.0
1583019349.07718,22760,93.0
1583019394.1452124,22798,139.5
1583019495.3287024,22889,78.0
1583019516.144059,22905,93.0
1583019646.2523732,23012,102.0
1583019654.43361,23019,98.0
1583019667.4007165,23031,81.0
1583019729.0921419,23083,150.0
1583019742.3589556,23095,94.0
1583019853.6091304,23186,96.0
1583019855.2435565,23189,119.0
1583020044.591976,23337,95.0
1583020048.9183693,23341,71.0
1583020050.8257763,23342,77.0
1583020070.0275395,23359,79.0
1583020090.842512,23374,171.0
1583020101.7259598,23384,145.0
1583020115.4627047,23395,127.0
1583020124.729956,23400,108.0
1583020129.3897996,23405,76.0
1583020170.3570065,23440,127.0
1583020180.1213412,23450,111.0
1583020210.776798,23476,76.0
1583020260.98793,23521,65.0
1583020290.1403043,23545,121.0
1583020356.0851324,23598,119.0
1583020390.6543941,23622,116.0
1583020418.4134789,23642,106.0
1583020436.4256527,23656,97.0
1583020476.434725,23689,105.0
1583020632.0229363,23805,100.0
1583020696.2452326,23855,121.0
1583020799.898039,23936,104.0
1583020813.7286344,23947,86.0
1583020840.9130018,23968,91.0
1583020922.23537,24030,78.0
1583020938.8640018,24043,86.0
1583020986.7550669,24081,113.0
1583021011.4883912,24101,83.0
1583021024.7279096,24112,137.0
1583021148.1926827,24211,82.0
1583021326.867281,24355,115.0
1583021369.730445,24392,72.0
1583021373.2577438,24395,79.0
1583021411.951446,24424,125.0
1583021460.1466534,24463,183.0
1583021516.033747,24512,92.0
1583021574.2453508,24563,144.0
1583021578.0200298,24565,81.0
1583021586.8719192,24573,97.0
1583021626.1293454,24603,127.0
1583021651.7606843,24626,90.0
1583021669.6319814,24640,112.0
1583021733.3191695,24697,81.0
1583021844.165308,24793,113.0
1583021897.465986,24838,73.0
1583021904.2407043,24842,108.0
1583021980.308535,24902,180.0
1583022038.0069854,24949,96.0
1583022073.0248055,24979,79.0
1583022098.0416472,25001,144.0
1583022107.319036,25009,84.0
1583022263.410131,25132,71.0
1583022301.6967895,25163,100.0
1583022330.6727505,25185,97.0
1583022367.71753,25218,73.0
1583022403.1264234,25247,91.0
1583022458.4622283,25293,124.0
1583022509.123141,25332,131.0
1583022614.1026778,25419,66.0
1583022702.8748577,25494,70.0
1583022730.107406,25519,63.0
1583022744.4548066,25532,64.0
1583022754.5978518,25541,64.0
1583022849.1262786,25620,155.0
1583022914.683072,25679,156.0
1583023048.4268773,25794,108.0
1583023064.808226,25809,78.0
1583023153.4628,25889,79.0
1583023234.9094357,25953,78.0
1583023266.997365,25978,67.0
1583023367.3129983,26068,112.0
1583023408.495097,26105,73.0
1583023446.5949829,26140,99.0
1583023484.2177448,26173,141.0
1583023536.5781293,26215,138.0
1583023662.1035562,26329,84.0
1583023681.7718763,26345,109.0
1583023703.049553,26366,121.0
1583023715.0647023,26375,115.0
1583023734.7225351,26391,127.0
1583023807.13353,26457,115.0
1583023808.0104518,26458,116.0
1583023826.5258312,26473,77.0
1583023969.9871008,26583,95.0
1583023984.7670658,26596,123.0
1583023998.5539024,26607,104.0
1583024116.6260242,26707,76.0
1583024194.8166142,26774,220.0
1583024250.071787,26817,89.0
1583024437.422391,26976,107.0
1583024542.7516854,27061,81.0
1583024544.9943,27063,119.0
1583024593.2906473,27103,102.0
1583024595.2956517,27104,166.0
1583024595.4740763,27105,52.0
1583024616.1383736,27121,74.0
1583024631.4579117,27135,63.0
1583024634.8868337,27137,86.0
1583024755.0284457,27237,109.0
1583024930.6988232,27390,161.0
1583025005.7693875,27455,68.0
1583025011.855631,27461,116.0
1583025020.276979,27467,102.0
1583025024.1617057,27471,78.0
1583025025.4828386,27472,80.0
1583025118.980069,27548,111.0
1583025168.3552349,27589,92.0
1583025242.28868,27648,75.0
1583025367.0084498,27758,104.0
1583025379.0004783,27769,69.0
1583025387.2108314,27777,81.0
1583025442.3588364,27825,72.0
1583025471.37214,27849,139.0
1583025519.8507779,27891,177.0
1583025523.9574106,27894,154.0
1583025560.27896,27925,87.0
1583025571.936192,27935,57.0
1583025578.9384928,27942,142.0
1583025601.8323624,27960,126.0
1583025670.2375712,28018,120.0
1583025690.9260082,28038,65.0
1583025695.677411,28041,74.0
1583025718.8337858,28062,71.0
1583025823.429275,28151,121.0
1583025924.6224535,28242,84.0
1583025928.2287545,28244,90.0
1583025965.795584,28277,75.0
1583025986.67984,28295,96.0
1583026332.1690178,28581,132.0
1583026363.3111708,28608,81.0
1583026413.4221401,28654,167.0
1583026480.3063433,28711,71.0
1583026551.785171,28773,91.0
1583026564.5347087,28786,87.0
1583026677.3395317,28880,67.0
1583026707.9242105,28909,92.0
1583026756.8679574,28948,79.0
1583026835.429443,29013,97.0
1583027108.9683545,29232,97.0
1583027215.3076382,29312,107.0
1583027249.012236,29339,71.0
1583027273.2745779,29361,148.0
1583027295.3897452,29380,86.0
1583027321.8491802,29400,52.0
1583027327.8922276,29405,68.0
1583027345.813278,29421,113.0
1583027360.1283395,29433,57.0
1583027379.2848592,29449,114.0
1583027408.1638548,29476,58.0
1583027496.5384636,29546,133.0
1583027552.6404796,29595,109.0
1583027569.2998579,29608,81.0
1583027580.0830925,29616,79.0
1583027696.98732,29714,58.0
1583027775.483312,29786,144.0
1583027815.6391795,29819,157.0
1583027825.3408647,29826,93.0
1583027834.1774623,29835,112.0
1583027898.552331,29885,151.0
1583027901.648861,29888,89.0
1583027927.9497886,29909,81.0
1583027942.8816333,29921,87.0
1583027966.1954846,29941,127.0
1583027992.370479,29963,75.5
1583028152.9368238,30100,119.0
1583028252.9206848,30181,68.0
1583028254.1909454,30182,91.0
1583028296.6035175,30217,124.0
1583028320.2514532,30236,94.0
1583028375.203802,30283,95.0
1583028468.9779868,30355,113.0
1583028475.1694183,30360,96.0
1583028513.52731,30386,147.0
1583028582.2515945,30433,110.0
1583028603.7954535,30448,108.0
1583028669.8992267,30495,119.0
1583028724.4617712,30532,119.0
1583028781.4850779,30576,124.0
1583028807.292578,30598,114.0
1583028816.1686997,30604,83.0
1583028831.9206884,30617,83.0
1583028863.586325,30645,78.0
1583028915.0780163,30688,91.0
1583028964.0379689,30728,79.0
1583029048.522024,30795,78.0
1583029081.7182064,30820,68.0
1583029090.1348557,30827,68.0
1583029093.6498444,30831,82.0
1583029210.6351035,30931,67.5
1583029216.1846006,30934,137.0
1583029259.5449746,30974,60.0
1583029301.3095124,31008,113.0
1583029376.9370737,31070,179.0
1583029397.7489781,31084,103.0
1583029420.8879838,31101,213.0
1583029422.4090652,31102,107.0
1583029480.106372,31144,134.0
1583029600.7748783,31244,164.0
1583029634.533288,31271,171.0
1583029812.6082346,31419,81.0
1583029880.8620174,31472,125.0
1583030013.2510684,31580,95.0
1583030027.2148805,31591,84.0
1583030211.0909498,31715,216.0
1583030290.0164936,31774,155.0
1583030339.162457,31812,137.0
1583030365.9685123,31833,68.0
1583030410.1467502,31870,63.0
1583030455.9364743,31906,87.0
1583030457.156127,31907,85.0
1583030488.0000117,31932,76.0
1583030565.539315,31995,274.0
1583030648.1181564,32066,114.0
1583030680.3178601,32092,113.0
1583030700.867447,32110,98.0
1583030729.7427564,32134,78.0
1583030787.2048666,32180,175.0
1583030871.0902822,32246,110.0
1583030879.6531594,32253,77.0
1583030888.782069,32261,111.0
1583030951.616321,32309,73.0
1583030966.986246,32318,84.0
1583031044.5466554,32377,122.0
1583031060.719066,32391,74.0
1583031244.8620255,32537,112.0
1583031261.7947917,32549,79.0
1583031302.29873,32583,145.0
1583031304.9370406,32585,96.0
1583031356.7441676,32625,58.0
1583031433.4562545,32691,95.0
1583031517.5470433,32765,95.0
1583031570.1545146,32812,166.0
1583031611.2262251,32848,139.0
1583031643.841456,32878,92.0
1583031686.911118,32907,77.0
1583031701.617258,32920,76.0
1583031705.4983747,32923,136.0
1583031781.9206529,32990,235.0
1583031785.0372913,32993,269.0
1583031843.2535963,33036,166.0
1583031890.3442342,33075,116.0
1583031902.2330823,33085,107.0
1583031904.8837888,33088,121.0
1583031969.413712,33141,129.0
1583032127.95268,33276,63.0
1583032136.8862152,33283,128.0
1583032136.9910512,33284,98.0
1583032143.309189,33291,95.0
1583032230.3806493,33356,85.0
1583032267.3024085,33384,79.0
1583032283.7568283,33396,80.0
1583032302.3595762,33409,77.0
